scenario_id,category,description,success,soft_pass,pattern_correct,agent_correct,outcome_correct,outcome_detail,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),True,True,False,True,False,"scenario:pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,612015.11,5,1.0,0.7881,
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),True,False,False,True,True,"scenario:pass=[knowledge=yes,response_present]",True,653066.92,6,1.0,0.7974,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),True,True,False,True,False,"scenario:pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,421343.31,5,,1.0,
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,288947.82,2,1.0,0.8005,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,600203.76,6,,1.0,
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",False,False,False,False,False,timeout:900s,False,0.0,0,,,Timeout after 900s
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,234673.48,3,,1.0,
refund_07,actionable_routing,"Refund: unauthorized foreign charge (EUR 500, auto-approve + investigation)",True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,472565.99,4,,1.0,
complaint_01,actionable_routing,Complaint: formal complaint about service (per complaints policy),True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,738206.81,7,1.0,0.6345,
complaint_02,actionable_routing,Complaint: ombudsman threat (regulatory escalation per policy),True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:handoff_to_human] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,185124.63,3,,1.0,
deleg_08,hierarchical_delegation,Multi-intent: dispute charge AND ask about fraud protection,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,276563.91,2,1.0,0.8456,
deleg_09,hierarchical_delegation,Multi-intent: complaint about waiting time AND request account statement,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:create_ticket,tool_missing:generate_statement] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,188465.55,2,1.0,0.8289,
deleg_10,hierarchical_delegation,Multi-intent: request refund AND change notification preferences,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:update_profile] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,239574.51,2,1.0,0.8426,
deleg_11,hierarchical_delegation,Multi-intent: explain overdraft fees AND reverse latest fee,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,327454.34,3,1.0,0.8346,
deleg_13,hierarchical_delegation,Multi-intent: upgrade account type AND transfer balance,True,True,True,True,False,pass=[response_present] fail=[tool_missing:update_account] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,332777.57,4,1.0,0.7893,
deleg_14,hierarchical_delegation,"Multi-intent: three intents — refund, complaint, and FAQ",True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:create_ticket] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,424553.02,3,1.0,0.8448,
deleg_15,hierarchical_delegation,Multi-intent: close savings AND open fixed deposit,False,False,True,False,False,pass=[response_present] fail=[tool_missing:update_account],True,131733.39,1,1.0,0.8031,
deleg_16,action_routing,Sequential action: add beneficiary then initiate international transfer (same agent),True,True,False,True,False,pass=[response_present] fail=[tool_missing:initiate_transfer] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,447499.43,5,0.9,0.8066,
hitl_01,hitl_escalation,Escalation: EUR 25000 fraud multi-turn (>5000 requires manager approval per policy),True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,828713.93,9,0.9,0.8262,
hitl_02,hitl_escalation,Escalation: dispute with regulatory complaint threat (multi-intent),True,True,True,True,False,"pass=[response_present] fail=[escalation_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,158190.87,2,1.0,0.8616,
hitl_03,hitl_escalation,Escalation: compromised card with active fraud (multi-intent),True,True,True,True,False,pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,299586.02,3,1.0,0.8513,
hitl_04,hitl_escalation,Escalation: vulnerable customer in financial distress,True,False,False,True,True,"pass=[clarification_or_response,response_present]",True,451782.3,4,1.0,0.7368,
hitl_05,hitl_escalation,Escalation: deceased account holder estate inquiry,True,True,False,True,False,"pass=[clarification_or_response,response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,267384.93,3,1.0,0.8374,
hitl_06,hitl_escalation,Escalation: suspected money laundering report,True,False,False,True,True,"pass=[clarification_or_response,response_present]",True,456069.44,4,1.0,0.682,
edge_02,graceful_degradation,Refund for fictitious product (graceful handling),True,False,False,True,True,"pass=[clarification_or_response,response_present]",True,425931.21,4,1.0,0.7134,
edge_03,graceful_degradation,Multi-intent with impossible subtask (graceful AOP decomposition),True,True,True,True,False,"pass=[response_present] fail=[kw_any_missing:none_of[unable,not available,cannot,don't offer,not possible,banking]] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,408322.66,4,1.0,0.8477,
edge_05,graceful_degradation,Legal threat requiring human intervention (graceful AOP handling),True,False,True,True,True,"pass=[response_present,kw_any:escalat,complaint]",True,236084.27,2,1.0,0.8295,
edge_08,graceful_degradation,Emotionally charged abusive message (graceful de-escalation),True,True,False,True,False,"pass=[response_present] fail=[kw_any_missing:none_of[sorry,apologize,understand,help,assist,concern]] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,140250.49,2,1.0,0.8504,
b77_refund_01,actionable_routing,"BANKING77: card payment not recognised (EUR 89.99, auto-approve)",True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,455748.64,4,,1.0,
b77_refund_03,actionable_routing,"BANKING77: failed transfer (EUR 1200, auto-approve)",True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,339596.09,4,,1.0,
b77_complaint_01,actionable_routing,BANKING77: card swallowed by ATM (per complaints policy),False,False,False,False,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket],True,449884.71,5,,1.0,
b77_complaint_02,actionable_routing,BANKING77: lost/stolen card report (block + replace),False,False,False,False,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket],True,224736.58,4,,1.0,
