scenario_id,strategy,persona,transparency,trust,satisfaction,justification
info_01,baseline,Trust Seeker,2,3,2,"The reply gives a clear yes/no but offers no explanation of the policy, the reasons a branch visit is required, processing time, fees, or any exceptions — so I can't see why that is the rule. I would trust it less because it doesn't cite policy or steps; a satisfactory answer should explain the rationale and any required documents or alternatives."
info_01,baseline,Efficiency Expert,2,3,3,"The reply is direct but gives no procedural details (forms, fees, processing time, or appointment requirements), so I don't understand why or how fully. I tentatively trust the statement but would need those specifics to act efficiently."
info_01,baseline,Tech Novice,3,4,3,"The reply is clear and uses simple language, so I can understand the basic instruction to go to a branch. However it lacks step-by-step details, timeframes, or alternative options (phone/appointment/help), so I would feel more comfortable with a little more guidance and reassurance."
info_01,baseline,Frustrated Complainer,2,2,1,"The reply only gives a terse yes and tells me to visit a branch without explaining the process, timing, fees, or remote alternatives, so I don't understand why that is the required action. It also fails to acknowledge my frustration or apologize, which feels dismissive and leaves me unsatisfied and less trusting."
info_01,baseline,Detail Oriented,2,2,2,"The reply confirms transfers are possible but gives almost no detail on the process: it omits timelines, specific required documents or form names, any fees or eligibility rules (e.g., personal vs business accounts), and whether an online or written authorization is acceptable. Without policy references, reference numbers, or next-step specifics I cannot reliably follow or audit the process."
info_01,baseline,First-Time User,2,3,2,"The answer is clear that transfers are possible and that I need to visit a branch, but it doesn't explain the steps, timing, fees, or if there are online/phone alternatives. I would feel more confident with friendlier language and a bit more guidance about what ID is acceptable and whether I need an appointment."
info_01,baseline,Regulatory Aware,2,2,2,"The reply is cursory and does not explain the process, legal basis, timeline, or what documentation/authorisations are required, so I cannot see why that is the policy. It also gives no information about confirmations, reference numbers, audit trails, or data-handling/privacy assurances, which undermines accountability and my trust as a consumer and legal professional."
info_01,transparent,Trust Seeker,2,2,2,"The reply gives a direct 'yes' and claims to have checked guidelines but does not explain which policy, what steps are required, or whether there are exceptions, fees or processing times — I need those specifics to feel reassured. To build trust I would expect a cited policy or a clear list of required documents/approvals and the expected timeline rather than a vague instruction to 'visit your nearest branch.'"
info_01,transparent,Efficiency Expert,2,3,3,"Answer is direct and confirms the transfer is possible, but it gives no concrete reasoning, steps, timeframes, fees, or exceptions and the claim of 'checked our guidelines' is vague. I trust it somewhat but need immediate specifics (online option, required forms, processing time) to be fully satisfied."
info_01,transparent,Tech Novice,3,3,3,"The reply is simple and gives a clear yes, but it doesn't explain the steps, how long the transfer takes, or whether there are any fees, so I don't fully understand why or what will happen. I would prefer a calm, step-by-step list of what to bring and what to expect at the branch."
info_01,transparent,Frustrated Complainer,2,3,2,"The reply gives a blunt yes and a basic instruction but doesn't explain why or provide details on timeframes, fees, required approvals, or alternative options, so it's not very transparent. It also fails to acknowledge my frustration or show empathy up front, which makes the helpful fact feel dismissive and unsatisfying."
info_01,transparent,Detail Oriented,2,2,2,"The reply affirms that transfers are allowed but provides no procedural detail, timelines, fees, exceptions, or policy citation, so I cannot see the reasoning or exact steps. I would need specifics (exact documents and ID types, required forms or reference numbers, processing time, effect on standing orders/cheques, any fees, and whether an appointment or remote option exists) before I could trust or be satisfied."
info_01,transparent,First-Time User,2,3,2,"The reply says transfers are allowed and claims to have checked guidelines, but it doesn't explain the process, timing, fees, or whether it can be done online so I don't really understand the reasoning. That makes me only somewhat trusting and a bit unsatisfied — I wanted a warmer tone and clear next steps (what to bring, whether an appointment or online option exists)."
info_01,transparent,Regulatory Aware,2,2,2,"The answer is terse and asserts that guidelines were checked but provides no citation, policy reference, or written procedure — I cannot see the reasoning or source. It also omits key compliance-relevant details (required forms, timelines, fees, consent/data handling) and offers no audit trail or reference number to hold the institution accountable."
info_01,empathetic,Trust Seeker,2,2,2,"The reply gives a yes/no and a single action (visit a branch) but doesn’t explain the underlying policy, eligibility rules, processing time, fees, or impacts on linked services. As someone who prefers clear reasoning and references, I would need cited policy points or step-by-step details to feel properly reassured."
info_01,empathetic,Efficiency Expert,3,4,3,"Gives a clear yes and a simple next step (visit branch with ID), but the reply includes unnecessary empathy and omits important specifics (forms, fees, processing time, online/appointment options). That makes it somewhat trustworthy but not fully efficient or actionable for a busy user."
info_01,empathetic,Tech Novice,3,4,3,"The reply is simple and easy to understand, which helps me feel comfortable. However it doesn’t explain the steps, how long it takes, or whether I need an appointment, and I would have liked an option for phone help or more details."
info_01,empathetic,Frustrated Complainer,2,3,3,"The reply offers a brief acknowledgement but the empathy feels generic rather than addressing my frustration directly. It gives a simple next step (visit a branch with ID) but omits key details like processing time, fees, whether it can be done online or by phone, so I don't feel fully informed or reassured."
info_01,empathetic,Detail Oriented,2,2,2,"The reply confirms transfers are allowed but gives no procedural detail (specific documents, forms, timelines, fees, eligibility criteria, or policy/reference number) or why an in-branch visit is required. As a detail-oriented user I need exact next steps and expected processing times to be confident it will be handled correctly, which this response does not provide."
info_01,empathetic,First-Time User,3,3,3,"The reply is friendly and tells me plainly that transfers are possible and to bring ID and account details, which feels approachable. However it doesn't say which ID is accepted, whether I need an appointment, how long it takes, or if there's an online option, so I still feel a bit unsure."
info_01,empathetic,Regulatory Aware,2,2,2,"The reply gives a simple affirmative and an instruction to visit a branch but provides no explanation of the policy basis, required documentation beyond a generic ID, timeline, fees, or compliance checks. It also omits any mention of receipts, reference numbers, audit trail, or how my data will be handled, so I cannot verify or hold the bank accountable if something goes wrong."
info_01,proactive,Trust Seeker,2,2,2,"The answer gives basic steps and a timescale but doesn’t explain WHY transfers take 2–3 days, which policy governs the process, or note possible exceptions (e.g. frozen/business accounts, fees, cheque books, online banking changes). Because it omits those details and any source for verification, I don’t fully trust it to cover edge cases and I’d be unsatisfied without a cited policy or clearer explanation of what will and won’t be migrated and how confirmation is sent."
info_01,proactive,Efficiency Expert,3,3,3,"Provides a clear yes, required action, and timeline but doesn't explain alternatives (online transfer), potential fees, or required forms. I trust the basic info but lack of edge-case details reduces confidence and adds friction."
info_01,proactive,Tech Novice,3,4,3,"The reply is simple and tells me the main steps (go to a branch, bring ID) and that payments will move automatically, which is reassuring. However it doesn't clearly explain what 'account details' means, whether I could do this by phone or online, or if there are any fees, so I still have a few questions."
info_01,proactive,Frustrated Complainer,3,3,2,"The reply gives clear steps, a timeframe, and notes that standing orders and direct debits will be migrated, so the basic process is understandable. However it doesn't acknowledge my frustration or show any empathy, and it omits details about exceptions, online/remote options, fees, or what to do if something goes wrong, so I'm not satisfied."
