scenario_id,category,description,p3394_compliance,ieee_2894_compliance,ieee_3152_compliance,overall_compliance,explanation_levels_available,has_summary,has_detailed,has_full,provenance_present,agent_identity_disclosed,decisions_documented,guardrail_checks,guardrail_interventions,trace_event_count,judge_summary_faithfulness,judge_summary_completeness,judge_summary_clarity,judge_detailed_faithfulness,judge_detailed_completeness,judge_detailed_clarity,judge_full_faithfulness,judge_full_completeness,judge_full_clarity,latency_ms,error,judge_error
faq_01,informational_routing,FAQ: Current Account transfer between branches,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,4,3,4,4,4,5,4,5,24070.02,,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,3,4,4,4,4,5,4,4,32157.34,,
faq_03,informational_routing,FAQ: Premium Current Account features,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,3,4,4,4,4,4,4,5,30669.8,,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,3,4,4,4,5,4,5,26524.36,,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,3,4,4,4,4,5,4,5,30990.31,,
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,4,4,4,4,4,5,4,5,78807.64,,
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,3,4,4,4,4,5,4,5,48491.19,,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,4,5,5,4,4,4,5,30391.56,,
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,2,4,4,4,4,5,4,5,42822.81,,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,5,5,5,4,5,4,5,39629.58,,
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,3,3,2,4,4,4,3,4,5,77650.68,,
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,5,4,4,4,5,5,5,4,5,38568.39,,
refund_07,actionable_routing,"Refund: unauthorized foreign charge (EUR 500, auto-approve + investigation)",1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,4,5,4,4,5,4,5,37545.44,,
complaint_01,actionable_routing,Complaint: formal complaint about service (per complaints policy),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,4,4,4,4,5,4,5,47278.08,,
complaint_02,actionable_routing,Complaint: ombudsman threat (regulatory escalation per policy),1.0,1.0,0.8333,0.9565,3,True,True,True,True,True,3,1,0,5,4,3,4,4,4,4,5,4,5,87057.08,,
deleg_01,hierarchical_delegation,Multi-intent: refund AND policy question,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,1,2,3,3,3,4,2,4,27342.28,,
deleg_02,hierarchical_delegation,Multi-intent: account inquiry AND cheque status,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,1,1,3,3,4,3,3,3,32872.3,,
deleg_03,hierarchical_delegation,Multi-intent: refund AND address change,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,2,1,3,3,4,3,3,3,32226.45,,
deleg_04,hierarchical_delegation,Multi-intent: cancel subscription AND explain charges,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,2,2,2,3,4,3,3,3,33342.89,,
deleg_05,hierarchical_delegation,Multi-intent: open new account AND close existing one,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,2,2,1,3,3,3,4,3,3,39002.36,,
deleg_06,hierarchical_delegation,Multi-intent: complaint AND refund (cross-agent delegation),1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,2,2,3,3,3,3,3,4,37025.68,,
deleg_07,hierarchical_delegation,Multi-intent: refund for wrong item AND track replacement delivery,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,1,2,1,4,3,3,3,3,3,36455.72,,
deleg_08,hierarchical_delegation,Multi-intent: dispute charge AND ask about fraud protection,1.0,1.0,0.6667,0.913,3,True,True,True,True,True,4,1,0,6,2,2,1,3,3,3,4,3,3,33140.51,,
