scenario_id,category,description,success,soft_pass,pattern_correct,agent_correct,outcome_correct,outcome_detail,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_01,informational_routing,FAQ: Current Account transfer between branches,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,386712.22,3,1.0,0.588,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,104504.94,1,1.0,0.7591,
faq_03,informational_routing,FAQ: Premium Current Account features,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,99634.97,1,1.0,0.7866,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,95348.08,1,1.0,0.8068,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,88693.86,1,1.0,0.8076,
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),False,False,False,False,False,timeout:900s,False,0.0,0,,,Timeout after 900s
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),True,False,False,True,True,"scenario:pass=[knowledge=yes,response_present]",True,835766.26,7,1.0,0.2325,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),False,False,False,False,False,timeout:900s,False,0.0,0,,,Timeout after 900s
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,True,True,False,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,346222.4,3,1.0,0.7968,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),False,False,False,False,False,timeout:900s,False,0.0,0,,,Timeout after 900s
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",False,False,False,False,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund],True,6209665.56,5,1.0,0.5262,
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",False,False,False,False,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund],True,701301.42,5,1.0,0.2472,
refund_07,actionable_routing,"Refund: unauthorized foreign charge (EUR 500, auto-approve + investigation)",True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,586748.48,4,,1.0,
complaint_01,actionable_routing,Complaint: formal complaint about service (per complaints policy),False,False,False,False,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket],True,846163.31,5,1.0,0.7995,
complaint_02,actionable_routing,Complaint: ombudsman threat (regulatory escalation per policy),True,True,False,True,False,scenario:pass=[response_present] fail=[tool_missing:handoff_to_human] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,271675.98,3,,1.0,
deleg_01,hierarchical_delegation,Multi-intent: refund AND policy question,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,323082.81,2,1.0,0.8405,
deleg_02,hierarchical_delegation,Multi-intent: account inquiry AND cheque status,True,True,True,True,False,"pass=[response_present] fail=[knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,266885.39,2,1.0,0.8272,
deleg_03,hierarchical_delegation,Multi-intent: refund AND address change,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:update_profile] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,315103.42,2,1.0,0.8329,
deleg_04,hierarchical_delegation,Multi-intent: cancel subscription AND explain charges,False,False,True,False,False,pass=[response_present] fail=[tool_missing:update_account],True,235697.13,2,1.0,0.7707,
deleg_05,hierarchical_delegation,Multi-intent: open new account AND close existing one,True,True,True,True,False,pass=[response_present] fail=[tool_missing:update_account] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,138352.81,2,1.0,0.812,
deleg_06,hierarchical_delegation,Multi-intent: complaint AND refund (cross-agent delegation),True,True,True,True,False,"pass=[response_present] fail=[tool_missing:create_ticket,tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,142792.21,2,1.0,0.8266,
deleg_07,hierarchical_delegation,Multi-intent: refund for wrong item AND track replacement delivery,True,True,True,True,False,pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,278093.84,2,1.0,0.7585,
deleg_08,hierarchical_delegation,Multi-intent: dispute charge AND ask about fraud protection,True,True,True,True,False,"pass=[response_present] fail=[tool_missing:initiate_refund,knowledge_mismatch:expected=True,got=False] [SOFT_PASS:tool_not_called_but_orchestration_ok]",True,185974.16,2,1.0,0.8475,
