Question,Answer,Class
What is the IKEA return policy for unopened items?,"You can return new and unopened products within 365 days, together with your proof of purchase, for a full refund. Items must be in original, unused condition with all packaging and tags.",refund
What is the return policy for opened items?,"You may return open products within 180 days, with your proof of purchase, for a full refund. Opened items must be clean, undamaged, and complete with all parts.",refund
Can I return an opened or assembled product?,"Yes, you can return opened or assembled products within 180 days with proof of purchase, as long as the item is clean, undamaged, and in resellable condition. Items that are modified, dirty, stained, or damaged will not be accepted.",refund
What items are not eligible for return?,"Plants, cut fabric, custom countertops, and as-is products are not eligible for return. Items that have been modified from their original form, are dirty, stained, or damaged are also not accepted for return or exchange.",refund
What do I need to return a product?,"You must have your receipt or order confirmation and a valid government-issued photo ID in order to return or exchange your product.",refund
How do I return a product in store?,"Head to your local IKEA store and enter through the Exchanges & Returns entrance, follow signage to the Exchanges & Returns desk, and once you arrive, sign up to join the line. Bring your merchandise, photo ID, receipt, and the card used for the purchase.",refund
How do I return an online purchase?,"For smaller item returns (FedEx or UPS), fill out the return slip and send the package(s) back to your closest IKEA store location with the slip and a copy of the receipt or order confirmation. Large item returns can be made by visiting your local IKEA store. You will be responsible for covering the shipping fee.",refund
How long does a refund take to process?,"Refunds are processed to the original method of payment within 5-7 business days for in-store returns. For online/mail returns, product reimbursement should be received approximately 2 weeks after the item has arrived at the store.",refund
How is my refund issued?,"Refunds are made in the same form of payment originally used to make the purchase. Only the net purchase price as shown on the receipt will be refunded.",refund
Can I return items at IKEA Planning Studio or Pick Up Point locations?,"No, returns are not accepted at IKEA Planning Studio or IKEA Pick Up Point locations. You must return items at a full IKEA store.",refund
What happens if I return a promotional item?,When a promotional item included in the original transaction is not returned along with the qualifying purchase the value of the promotional item will be deducted from the refund amount.,refund
What is the mattress exchange policy?,"IKEA offers a 90-day ""Love it or exchange it"" trial for mattresses. You can exchange your mattress once within 90 days of purchase. The mattress must be clean, free of stains, and accompanied by proof of purchase. Refunds for downgrades are issued as store credit.",refund
I lost my receipt. Can I still return a product?,"If you no longer have your receipt, IKEA may be able to locate a copy in their system using the last 4 digits of the card used, the store location, an approximate date of purchase, and the exact amount of the transaction. If you registered as an IKEA Family member during the purchase, log into your IKEA Family account to find your complete purchase history.",refund
Is there a fee for returning large items purchased online?,"Yes, for large furniture returns, you can arrange a pickup return but there is a fee (often starting at $49) deducted from your refund. If IKEA made a mistake or the item arrived damaged, customer service may waive the fee.",refund
How can I track my order?,"You can track your order using the Track and Manage My Order tool on the IKEA website. Enter your order number and email address or phone number to view order status, delivery details, estimated arrival, and download receipts.",orders
