scenario_id,category,description,success,soft_pass,pattern_correct,agent_correct,outcome_correct,outcome_detail,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_01,informational_routing,FAQ: Current Account transfer between branches,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,33870.37,1,,0.9,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,48731.67,1,,0.86,
faq_03,informational_routing,FAQ: Premium Current Account features,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,55021.21,1,,0.9,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,35260.63,1,,0.9,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,25759.22,1,,0.86,
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,111258.93,2,,0.9,
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,54997.95,2,,1.0,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,78463.34,2,,1.0,
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,63015.72,1,,0.95,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),True,False,True,True,True,"scenario:pass=[tool:initiate_refund,response_present]",True,159636.73,3,,1.0,
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,206969.01,2,,1.0,
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,146518.39,2,,1.0,
