scenario_id,category,description,success,soft_pass,pattern_correct,agent_correct,outcome_correct,outcome_detail,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_01,informational_routing,FAQ: Current Account transfer between branches,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,34545.55,1,,0.9,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,45202.24,1,,0.95,
faq_03,informational_routing,FAQ: Premium Current Account features,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,36324.22,1,,1.0,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,40816.99,1,,0.95,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,33810.03,1,,0.95,
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,156927.11,2,,1.0,
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,96808.07,2,,1.0,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,80368.54,2,,1.0,
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,54596.45,1,,0.95,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,194624.71,3,,1.0,
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",False,False,True,False,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund],True,150382.63,2,,0.81,
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,182987.88,2,,1.0,
refund_07,actionable_routing,"Refund: unauthorized foreign charge (EUR 500, auto-approve + investigation)",True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,282616.53,2,,1.0,
complaint_01,actionable_routing,Complaint: formal complaint about service (per complaints policy),True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,153816.92,2,,1.0,
complaint_02,actionable_routing,Complaint: ombudsman threat (regulatory escalation per policy),True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:handoff_to_human] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,162704.02,2,,1.0,
deleg_01,hierarchical_delegation,Multi-intent: refund AND policy question,False,False,False,False,False,"pass=[knowledge=yes,response_present] fail=[tool_missing:initiate_refund]",True,130336.64,1,,1.0,
deleg_02,hierarchical_delegation,Multi-intent: account inquiry AND cheque status,True,False,False,False,True,"pass=[knowledge=yes,response_present]",True,105853.52,1,,0.86,
deleg_03,hierarchical_delegation,Multi-intent: refund AND address change,False,False,False,False,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:update_profile]",True,117814.32,1,,1.0,
deleg_04,hierarchical_delegation,Multi-intent: cancel subscription AND explain charges,True,True,False,True,False,pass=[response_present] fail=[tool_missing:update_account] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,62732.15,1,,0.81,
deleg_05,hierarchical_delegation,Multi-intent: open new account AND close existing one,True,True,False,True,False,pass=[response_present] fail=[tool_missing:update_account] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,67663.11,1,,0.98,
deleg_06,hierarchical_delegation,Multi-intent: complaint AND refund (cross-agent delegation),False,False,False,False,False,"pass=[response_present] fail=[tool_missing:create_ticket,tool_missing:initiate_refund]",True,49238.29,1,,0.81,
deleg_07,hierarchical_delegation,Multi-intent: refund for wrong item AND track replacement delivery,False,False,False,False,False,pass=[response_present] fail=[tool_missing:initiate_refund],True,109351.34,1,,0.06,
deleg_08,hierarchical_delegation,Multi-intent: dispute charge AND ask about fraud protection,False,False,False,False,False,"pass=[knowledge=yes,response_present] fail=[tool_missing:initiate_refund]",True,125719.09,1,,0.9,
deleg_09,hierarchical_delegation,Multi-intent: complaint about waiting time AND request account statement,False,False,False,False,False,"pass=[response_present] fail=[tool_missing:create_ticket,tool_missing:generate_statement]",True,93719.11,1,,0.9,
deleg_10,hierarchical_delegation,Multi-intent: request refund AND change notification preferences,False,False,False,False,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:update_profile]",True,210645.93,1,,1.0,
deleg_11,hierarchical_delegation,Multi-intent: explain overdraft fees AND reverse latest fee,False,False,False,False,False,"pass=[response_present] fail=[tool_missing:initiate_refund,knowledge_mismatch:expected=True,got=False]",True,65342.5,1,,1.0,
deleg_12,hierarchical_delegation,Multi-intent: report unauthorized transaction AND freeze account,False,False,False,False,False,"pass=[response_present] fail=[tool_missing:initiate_refund,tool_missing:freeze_account]",True,61161.24,1,,0.82,
deleg_13,hierarchical_delegation,Multi-intent: upgrade account type AND transfer balance,False,False,False,False,False,pass=[response_present] fail=[tool_missing:update_account],True,91152.79,1,,1.0,
