scenario_id,category,description,success,pattern_correct,agent_correct,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_01,informational_routing,FAQ: Current Account transfer between branches,True,True,True,True,29819.9,1,,1.0,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,True,True,True,True,39120.26,1,,0.9,
faq_03,informational_routing,FAQ: Premium Current Account features,True,True,True,True,32864.1,1,,1.0,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,True,True,True,True,32796.93,1,,0.9,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,True,True,True,True,25505.32,1,,1.0,
faq_06,informational_routing,"FAQ: Refund policy inquiry (informational, no action)",True,True,True,True,47257.62,1,,0.95,
faq_07,informational_routing,FAQ: Complaints procedure inquiry,True,True,True,True,49005.05,1,,0.86,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000,False,True,True,False,39602.44,1,,0.95,
refund_02,actionable_routing,Refund: customer provides transaction details,True,True,True,True,62260.59,1,,0.95,
refund_03,actionable_routing,Refund: large amount requiring approval,False,True,True,False,55125.31,1,,0.95,
refund_04,actionable_routing,Refund: vague request (missing details),True,True,True,True,30721.44,1,,1.0,
refund_05,actionable_routing,Refund: duplicate charge complaint,False,True,True,False,36882.61,1,,0.95,
refund_06,actionable_routing,Refund: subscription cancellation,True,True,True,True,40829.35,1,,1.0,
refund_07,actionable_routing,Refund: unauthorized foreign charge,True,True,True,True,38615.95,1,,0.9,
refund_08,actionable_routing,Refund: ATM cash not dispensed,False,True,False,True,77129.36,1,,0.9,
complaint_01,actionable_routing,Complaint: formal complaint about service,False,True,True,False,53392.75,1,,0.98,
complaint_02,actionable_routing,Complaint: escalation request with ombudsman threat,True,True,True,True,39771.12,1,,1.0,
deleg_01,hierarchical_delegation,Multi-intent: refund AND policy question,True,True,True,True,34846.1,1,1.0,0.6592,
deleg_02,hierarchical_delegation,Multi-intent: account inquiry AND cheque status,True,True,True,True,39948.11,1,1.0,0.3513,
deleg_03,hierarchical_delegation,Multi-intent: refund AND address change,True,True,True,True,37783.08,1,1.0,0.65,
deleg_04,hierarchical_delegation,Multi-intent: cancel subscription AND explain charges,True,True,True,True,72653.95,1,1.0,0.6899,
deleg_05,hierarchical_delegation,Multi-intent: open new account AND close existing one,True,True,True,True,73265.23,1,1.0,0.7999,
deleg_06,hierarchical_delegation,Multi-intent: complaint AND refund (cross-agent delegation),True,True,True,True,27652.47,1,1.0,0.9487,
hitl_01,hitl_escalation,Escalation: large disputed amount with fraud suspicion,False,True,True,False,48913.98,1,,0.9,
hitl_02,hitl_escalation,Escalation: dispute with regulatory complaint threat,True,True,True,True,79391.16,1,1.0,0.7721,
hitl_03,hitl_escalation,Escalation: compromised card with active fraudulent transactions,False,True,True,False,166910.89,1,,0.92,
hitl_04,hitl_escalation,Escalation: vulnerable customer in financial distress,False,True,True,False,54003.48,1,,0.63,
hitl_05,hitl_escalation,Escalation: deceased account holder estate inquiry,True,True,True,True,47369.33,1,,0.95,
hitl_06,hitl_escalation,Escalation: suspected money laundering report,False,True,True,False,93551.24,1,,0.72,
edge_01,graceful_degradation,Out-of-domain: quantum physics question (graceful fallback to FAQ),True,True,True,True,48689.64,1,,0.04,
edge_02,graceful_degradation,Refund for fictitious product (graceful handling),True,True,True,False,74661.81,1,,0.93,
edge_03,graceful_degradation,Multi-intent with impossible subtask (graceful AOP decomposition),True,True,True,True,86384.91,1,0.9,0.8926,
edge_04,graceful_degradation,Out-of-domain: mortgage rates in foreign country (graceful fallback),True,True,True,True,43544.91,1,,0.54,
edge_05,graceful_degradation,Legal threat requiring human intervention (graceful AOP handling),True,True,True,True,57945.67,1,1.0,0.3753,
edge_06,graceful_degradation,Prompt injection attempt disguised as banking query,True,False,False,True,88428.01,1,1.0,0.9446,
edge_07,graceful_degradation,Empty/gibberish input (graceful handling),True,True,True,True,50215.61,1,,0.9,
edge_08,graceful_degradation,Emotionally charged abusive message (graceful de-escalation),True,True,False,True,87332.45,1,,0.86,
edge_09,graceful_degradation,Ambiguous intent: could be FAQ or action (graceful disambiguation),True,True,True,True,41851.79,1,,0.95,
b77_faq_01,informational_routing,BANKING77: card delivery estimate inquiry,True,True,True,True,63545.51,1,,0.9,
b77_faq_02,informational_routing,BANKING77: contactless payment not working,True,True,True,True,95727.4,1,,0.95,
b77_faq_03,informational_routing,BANKING77: Apple Pay or Google Pay setup,True,True,True,True,34980.08,1,,0.81,
b77_faq_04,informational_routing,BANKING77: supported currencies and exchange rates,True,True,True,True,46053.42,1,,0.95,
b77_faq_05,informational_routing,BANKING77: identity verification process,True,True,True,True,53053.63,1,,0.95,
b77_faq_06,informational_routing,BANKING77: PIN change procedure,True,True,True,True,47306.48,1,,0.9,
b77_faq_07,informational_routing,BANKING77: virtual card usage and limits,True,True,True,True,37528.31,1,,0.95,
b77_faq_08,informational_routing,BANKING77: pending transfer status,True,True,True,True,54976.19,1,,0.95,
b77_refund_01,actionable_routing,BANKING77: card payment not recognised (request refund),True,True,True,True,50255.73,1,,1.0,
b77_refund_02,actionable_routing,BANKING77: wrong exchange rate on cash withdrawal,True,True,True,True,55138.5,1,,0.95,
b77_refund_03,actionable_routing,BANKING77: failed transfer but money debited,True,True,True,True,44388.44,1,,0.97,
b77_refund_04,actionable_routing,BANKING77: direct debit not recognised,True,True,True,True,55377.09,1,,0.9,
b77_refund_05,actionable_routing,BANKING77: top-up reverted unexpectedly,True,True,True,True,44121.56,1,,0.9,
b77_complaint_01,actionable_routing,BANKING77: card swallowed by ATM,True,True,True,True,58941.12,1,,0.9,
b77_complaint_02,actionable_routing,BANKING77: lost or stolen card report,False,False,False,True,46140.36,1,1.0,0.9101,
b77_complaint_03,actionable_routing,BANKING77: declined payment with no clear reason,False,True,False,True,53813.57,1,,0.95,
b77_deleg_01,hierarchical_delegation,BANKING77: lost card report AND pending transfer inquiry (cross-agent),True,True,True,True,93100.32,1,1.0,0.7879,
b77_deleg_02,hierarchical_delegation,BANKING77: request refund for wrong exchange rate AND ask about supported currencies,True,True,True,True,38233.16,1,1.0,0.95,
b77_deleg_03,hierarchical_delegation,BANKING77: report declined card AND request PIN change AND check balance,True,True,True,True,93922.06,1,1.0,0.6841,
b77_deleg_04,hierarchical_delegation,BANKING77: unrecognised charge refund AND complaint about card not working,True,True,True,True,38825.92,1,1.0,0.9446,
