scenario_id,category,description,success,soft_pass,pattern_correct,agent_correct,outcome_correct,outcome_detail,answer_keywords_found,latency_ms,agent_calls,completeness_score,solvability_score,error
faq_01,informational_routing,FAQ: Current Account transfer between branches,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,58933.91,1,,0.9,
faq_02,informational_routing,FAQ: Outstation cheque clearing time,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,52827.31,1,,1.0,
faq_03,informational_routing,FAQ: Premium Current Account features,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,57097.4,1,,1.0,
faq_04,informational_routing,FAQ: EEFC Account for SEZ units,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,45255.74,1,,1.0,
faq_05,informational_routing,FAQ: Flexi Account initial deposit,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,37970.15,1,,1.0,
faq_06,informational_routing,FAQ: Multi-turn card dispute inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,252179.67,2,,0.95,
faq_07,informational_routing,FAQ: Multi-turn insurance claim inquiry (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,152536.65,2,,0.63,
faq_08,informational_routing,FAQ: Multi-turn lost card procedure (clarification then BankFAQ retrieval),True,False,True,True,True,"scenario:pass=[knowledge=yes,response_present]",True,87551.85,2,,1.0,
faq_10,informational_routing,FAQ: Overdraft facility eligibility and application process,True,False,True,True,True,"pass=[knowledge=yes,response_present]",True,67199.64,1,,0.95,
refund_01,actionable_routing,Refund: simple eligible refund under EUR 5000 (auto-approve per policy),False,False,False,False,False,timeout:300s,False,0.0,0,,,Timeout after 300s
refund_02,actionable_routing,"Refund: customer provides transaction details (EUR 150, auto-approve)",True,False,True,True,True,"scenario:pass=[tool:initiate_refund,response_present]",True,210294.76,2,,0.81,
refund_05,actionable_routing,"Refund: duplicate charge (EUR 75, auto-approve)",True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:initiate_refund] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,234028.03,2,,1.0,
refund_07,actionable_routing,"Refund: unauthorized foreign charge (EUR 500, auto-approve + investigation)",True,False,True,True,True,"scenario:pass=[tool:initiate_refund,response_present]",True,213393.8,2,,1.0,
complaint_01,actionable_routing,Complaint: formal complaint about service (per complaints policy),True,True,True,True,False,scenario:pass=[response_present] fail=[tool_missing:create_ticket] [SOFT_PASS:tool_not_called_but_orchestration_ok],True,154299.46,2,,1.0,
